title,release_date,release_year,worldwide_box_office,split
Hammett,1982-09-17,1982,42914.0,train
Five Days One Summer,,1982,199078.0,train
Penitentiary II,1982-04-02,1982,3178542.0,train
If You Could See What I Hear,1982-04-23,1982,8693512.0,train
Partners,1982-04-30,1982,6062898.0,train
Richard Pryor: Live on the Sunset Strip,1982-03-12,1982,36299720.0,train
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,1982-11-19,1982,78350.0,train
Monsignor,1982-10-22,1982,12408066.0,train
"Yes, Giorgio",1982-09-24,1982,2279543.0,train
I Ought to Be in Pictures,1982-03-26,1982,6968359.0,train
La traviata,1983-02-18,1982,3783329.0,train
Fighting Back,1982-05-21,1982,3355948.0,train
Kamikaze 89,1982-07-16,1982,22440.0,train
Heidi's Song,1982-11-19,1982,5124391.0,train
Lonely Hearts,1982-10-21,1982,777087.0,train
Scarface,1983-12-09,1983,65884703.0,train
The Outsiders,1983-03-25,1983,25697647.0,train
Star Wars: Episode VI - Return of the Jedi,1983-05-25,1983,475106177.0,train
Risky Business,1983-08-05,1983,63541777.0,train
National Lampoon's Vacation,1983-07-29,1983,61399552.0,train
Trading Places,1983-06-08,1983,90404800.0,train
Superman III,1983-06-17,1983,59950623.0,train
The Big Chill,1983-09-30,1983,56399659.0,train
Staying Alive,1983-07-15,1983,64892670.0,train
Jaws 3-D,1983-07-22,1983,87987055.0,train
Christine,1983-12-09,1983,21017849.0,train
Flashdance,1983-04-15,1983,92921203.0,train
WarGames,1983-06-03,1983,79567667.0,train
The Right Stuff,1984-02-17,1983,21192315.0,train
Krull,1983-07-29,1983,16916617.0,train
Spring Break,1983-03-25,1983,24071666.0,train
The Dead Zone,1983-10-21,1983,20766616.0,train
Octopussy,1983-06-10,1983,67893619.0,train
Private School,1983-07-29,1983,14049540.0,train
Valley Girl,1983-04-29,1983,17343596.0,train
Rumble Fish,1983-10-21,1983,2494480.0,train
Videodrome,1983-02-04,1983,2120439.0,train
Terms of Endearment,1983-12-09,1983,108423749.0,train
Twilight Zone: The Movie,1983-06-24,1983,29450919.0,train
Never Say Never Again,1983-10-07,1983,55432841.0,train
A Christmas Story,1983-11-18,1983,20653717.0,train
Cujo,1983-08-12,1983,21156152.0,train
Sudden Impact,1983-12-09,1983,67642693.0,train
The Hunger,1983-04-29,1983,5988322.0,train
Mr. Mom,1983-08-19,1983,64783827.0,train
Blue Thunder,1983-05-13,1983,42313354.0,train
Breathless,1983-05-13,1983,19910002.0,train
Psycho II,1983-06-03,1983,34725000.0,train
Local Hero,1983-03-17,1983,5899678.0,train
Bad Boys,1983-03-25,1983,9190819.0,train
Silkwood,1984-01-27,1983,35615609.0,train
All the Right Moves,1983-10-21,1983,17233166.0,train
The Keep,1983-12-16,1983,4218594.0,train
My Tutor,1983-04-22,1983,22587834.0,train
Yentl,1984-01-06,1983,40218899.0,train
Fire and Ice,1983-08-26,1983,760883.0,train
Eddie and the Cruisers,1983-09-23,1983,4786789.0,train
Yellowbeard,1983-06-24,1983,4300000.0,train
The Meaning of Life,1983-03-31,1983,14949697.0,train
Nostalghia,,1983,55269.0,train
Hot Dog... The Movie,1984-01-13,1983,20307325.0,train
Smokey and the Bandit Part 3,1983-08-12,1983,5678950.0,train
Deathstalker,1983-09-16,1983,11919250.0,train
Porky's II: The Next Day,1983-06-24,1983,33759266.0,train
Something Wicked This Way Comes,1983-04-29,1983,8400000.0,train
Tender Mercies,1983-03-04,1983,8443124.0,train
Star 80,1984-02-03,1983,6472990.0,train
Gorky Park,1983-12-16,1983,15856028.0,train
Lone Wolf McQuade,1983-04-15,1983,12232628.0,train
Easy Money,1983-08-19,1983,29309766.0,train
Merry Christmas Mr. Lawrence,1983-09-02,1983,2306560.0,train
Losin' It,1983-04-22,1983,1246141.0,train
Screwballs,1983-04-01,1983,2082215.0,train
Brainstorm,1983-09-30,1983,10219460.0,train
The Man with Two Brains,1983-06-03,1983,10353438.0,train
Angel,1984-01-13,1983,17488564.0,train
10 to Midnight,1983-03-11,1983,7175592.0,train
Uncommon Valor,1983-12-16,1983,30503151.0,train
Doctor Detroit,1983-05-06,1983,10375893.0,train
Mortuary,1983-09-02,1983,4319001.0,train
Stroker Ace,1983-07-01,1983,13000000.0,train
Sahara,1984-03-02,1983,1402962.0,train
Two of a Kind,1983-12-16,1983,23646952.0,train
Chained Heat,1983-05-27,1983,6149983.0,train
Spacehunter: Adventures in the Forbidden Zone,1983-05-20,1983,16478265.0,train
High Road to China,1983-03-18,1983,28445927.0,train
Never Cry Wolf,1984-01-27,1983,29600000.0,train
The Pirates of Penzance,1983-02-18,1983,694497.0,train
Rock & Rule,1987-07-24,1983,30379.0,train
Hercules,1983-08-26,1983,10676194.0,train
Educating Rita,1983-10-28,1983,14648076.0,train
A Night in Heaven,1983-11-18,1983,5563663.0,train
Under Fire,1983-10-21,1983,5696391.0,train
Amityville 3-D,1983-11-18,1983,6333135.0,train
Testament,1984-01-05,1983,2044892.0,train
The Osterman Weekend,1983-11-04,1983,6486797.0,train
Revenge of the Ninja,1983-09-16,1983,13168027.0,train
Zelig,1983-08-25,1983,11798616.0,train
To Be or Not to Be,1983-12-16,1983,13030214.0,train
Eureka,1983-05-20,1983,123572.0,train
The Wicked Lady,1983-10-28,1983,724912.0,train
Still Smokin,1983-05-06,1983,15543710.0,train
"Yor, the Hunter from the Future",1983-08-19,1983,2810199.0,train
Of Unknown Origin,1983-11-24,1983,1080470.0,train
Curse of the Pink Panther,1983-08-12,1983,4491986.0,train
D.C. Cab,1983-12-16,1983,16134627.0,train
