title,release_date,log_budget,release_year,release_month,release_quarter,holiday_release,director_prior_films,director_prior_avg_gross,star_prior_films,star_prior_avg_gross,company_prior_films,company_prior_avg_gross,primary_genre,release_season,worldwide_box_office,log_worldwide_box_office
The Four Seasons,1981-05-22,,1981,5.0,2.0,0,0,,0,,12,30814768.666666668,Unknown,summer,50427646.0,17.736050134229476
Friday the 13th Part 2,1981-05-01,14.038654909278163,1981,5.0,2.0,0,0,,1,39754601.0,0,,Unknown,summer,21722776.0,16.893871899369287
Scanners,1981-01-14,,1981,1.0,1.0,0,0,,0,,0,,Unknown,winter,14225876.0,16.47057318809735
For Your Eyes Only,1981-06-26,17.147715103853763,1981,6.0,2.0,0,0,,0,,0,,Unknown,summer,54813222.0,17.819442018431577
Halloween II,1981-10-30,14.731801689838349,1981,10.0,4.0,0,0,,0,,0,,Unknown,fall,25533818.0,17.055514366749545
Taps,1981-12-25,16.454567959008102,1981,12.0,4.0,1,0,,0,,1,17815212.0,Unknown,holiday,35856053.0,17.39502298104581
Reds,1981-12-25,17.281246492014,1981,12.0,4.0,1,0,,0,,0,,Unknown,holiday,40382659.0,17.5139110428745
On Golden Pond,1982-02-12,,1981,2.0,1.0,0,0,,0,,1,103300686.0,Unknown,winter,119285432.0,18.597029775673203
The Fox and the Hound,1981-07-10,16.300417291085605,1981,7.0,3.0,0,0,,0,,0,,Unknown,summer,63456988.0,17.965872895782827
Chariots of Fire,1982-04-09,15.520258832020865,1981,4.0,2.0,0,0,,0,,0,,Unknown,spring,59303359.0,17.89817652340831
Absence of Malice,1981-12-18,16.300417291085605,1981,12.0,4.0,1,0,,1,3763988.0,3,58102907.666666664,Unknown,holiday,40716963.0,17.52215536947018
Tarzan the Ape Man,1981-07-24,15.687312888712007,1981,7.0,3.0,0,0,,0,,2,11189342.0,Unknown,summer,36565280.0,17.41460974160228
Victory,1981-07-31,16.118095750958314,1981,7.0,3.0,0,1,59167.0,2,23807914.0,1,19814523.0,Unknown,summer,10853418.0,16.199990703519745
Arthur,1981-07-17,15.76142084987672,1981,7.0,3.0,0,0,,1,14155617.0,1,39846344.0,Unknown,summer,95461682.0,18.374235499807728
My Dinner with Andre,1981-10-11,,1981,10.0,4.0,0,0,,0,,0,,Unknown,fall,5073.0,8.531884740159228
Caveman,1981-04-17,,1981,4.0,2.0,0,0,,0,,0,,Unknown,spring,15965924.0,16.5859673216947
History of the World: Part I,1981-06-12,16.213405921671733,1981,6.0,2.0,0,0,,0,,1,7653061.0,Unknown,summer,31672907.0,17.27097223621293
The Howling,1981-04-10,13.815511557963774,1981,4.0,2.0,0,0,,0,,0,,Unknown,spring,17985893.0,16.70509834196653
Dragonslayer,1981-06-26,16.705882371415992,1981,6.0,2.0,0,0,,0,,7,43904398.28571428,Unknown,summer,14110013.0,16.462395316032616
Cutter's Way,1982-02-10,14.914123179965662,1981,2.0,1.0,0,0,,0,,0,,Unknown,winter,1752634.0,14.37663092773428
Quest for Fire,1982-02-12,16.341239282272525,1981,2.0,1.0,0,0,,0,,0,,Unknown,winter,20962615.0,16.858251218789405
The Final Conflict,1981-03-20,15.424948670398354,1981,3.0,1.0,0,0,,0,,3,21334886.666666668,Unknown,spring,20471382.0,16.834538517641516
Mommie Dearest,1981-09-25,15.424948670398354,1981,9.0,3.0,0,0,,0,,7,43904398.28571428,Unknown,fall,19032261.0,16.761646097158533
Private Lessons,1981-06-10,14.845130332288226,1981,6.0,2.0,0,0,,0,,0,,Unknown,summer,26279000.0,17.084280737159514
The Postman Always Rings Twice,1981-03-20,16.300417291085605,1981,3.0,1.0,0,0,,1,46998772.0,0,,Unknown,spring,12376625.0,16.331320251726993
Ragtime,1981-12-25,,1981,12.0,4.0,1,0,,0,,0,,Unknown,holiday,14920781.0,16.518265564235016
Deadly Blessing,1981-08-14,14.731801689838349,1981,8.0,3.0,0,0,,0,,1,10000000.0,Unknown,winter,8279042.0,15.929237939971449
Eyewitness,1981-02-13,15.955576839107596,1981,2.0,1.0,0,0,,1,19853892.0,3,21334886.666666668,Unknown,winter,6400000.0,15.671808704579888
Gallipoli,1981-08-28,,1981,8.0,3.0,0,0,,0,,0,,Unknown,winter,5732587.0,15.56167764466484
Outland,1981-05-22,16.588099342704055,1981,5.0,2.0,0,0,,0,,0,,Unknown,summer,17374595.0,16.67051969734624
S.O.B.,1981-07-01,16.300417291085605,1981,7.0,3.0,0,0,,0,,0,,Unknown,summer,14867086.0,16.514660401465093
The Beyond,1983-11-11,12.899222326086994,1981,11.0,4.0,1,0,,0,,0,,Unknown,holiday,123843.0,11.72677798804353
Ghost Story,1981-12-18,,1981,12.0,4.0,1,0,,0,,12,30814768.666666668,Unknown,holiday,23371905.0,16.967045260741823
My Bloody Valentine,1981-02-11,,1981,2.0,1.0,0,0,,0,,0,,Unknown,winter,5672031.0,15.551057988927129
The Funhouse,1981-03-13,,1981,3.0,1.0,0,0,,0,,12,30814768.666666668,Unknown,spring,7886857.0,15.880708387907157
One from the Heart,1982-02-11,17.073607134447293,1981,2.0,1.0,0,0,,0,,0,,Unknown,winter,636796.0,13.364206202445937
The French Lieutenant's Woman,1981-10-16,,1981,10.0,4.0,0,0,,0,,0,,Unknown,fall,26890068.0,17.107267594251425
The Great Muppet Caper,1981-06-26,,1981,6.0,2.0,0,0,,0,,0,,Unknown,summer,31206251.0,17.25612901732078
True Confessions,1981-09-25,16.118095750958314,1981,9.0,3.0,0,0,,1,23402427.0,1,23402427.0,Unknown,fall,12850276.0,16.3688759254934
Nighthawks,1981-04-10,15.424948670398354,1981,4.0,2.0,0,0,,0,,12,30814768.666666668,Unknown,spring,19905359.0,16.80649960016107
Nice Dreams,1981-06-05,,1981,6.0,2.0,0,1,41675194.0,1,41675194.0,0,,Unknown,summer,37000000.0,17.426428497635523
Sharky's Machine,1981-12-18,,1981,12.0,4.0,1,0,,1,66132626.0,0,,Unknown,holiday,35610100.0,17.388139891531882
Neighbors,1981-12-18,15.955576839107596,1981,12.0,4.0,1,0,,1,115229890.0,3,58102907.666666664,Unknown,holiday,29916207.0,17.213910965070703
Puberty Blues,1981-12-10,,1981,12.0,4.0,1,0,,0,,0,,Unknown,holiday,237000.0,12.37581963951765
